id_compteur;sum_counts;date
110;100;2023-03-31T00:00:00+00:00
111;0;2023-03-31T00:00:00+00:00
226;100;2023-03-31T00:00:00+00:00
227;360;2023-03-31T00:00:00+00:00
249;140;2023-03-31T00:00:00+00:00
250;60;2023-03-31T00:00:00+00:00
251;20;2023-03-31T00:00:00+00:00
252;20;2023-03-31T00:00:00+00:00
253;200;2023-03-31T00:00:00+00:00
254;140;2023-03-31T00:00:00+00:00
261;80;2023-03-31T00:00:00+00:00
262;20;2023-03-31T00:00:00+00:00
263;20;2023-03-31T00:00:00+00:00
331;40;2023-03-31T00:00:00+00:00
332;80;2023-03-31T00:00:00+00:00
333;0;2023-03-31T00:00:00+00:00
334;140;2023-03-31T00:00:00+00:00
337;40;2023-03-31T00:00:00+00:00
338;0;2023-03-31T00:00:00+00:00
354;40;2023-03-31T00:00:00+00:00
355;60;2023-03-31T00:00:00+00:00
424;0;2023-03-31T00:00:00+00:00
425;0;2023-03-31T00:00:00+00:00
426;0;2023-03-31T00:00:00+00:00
427;0;2023-03-31T00:00:00+00:00
430;0;2023-03-31T00:00:00+00:00
431;20;2023-03-31T00:00:00+00:00
434;0;2023-03-31T00:00:00+00:00
435;80;2023-03-31T00:00:00+00:00
537;0;2023-03-31T00:00:00+00:00
538;0;2023-03-31T00:00:00+00:00
642;0;2023-03-31T00:00:00+00:00
643;0;2023-03-31T00:00:00+00:00
648;0;2023-03-31T00:00:00+00:00
649;0;2023-03-31T00:00:00+00:00
722;0;2023-03-31T00:00:00+00:00
723;0;2023-03-31T00:00:00+00:00
724;0;2023-03-31T00:00:00+00:00
725;0;2023-03-31T00:00:00+00:00
815;0;2023-03-31T00:00:00+00:00
816;100;2023-03-31T00:00:00+00:00
818;0;2023-03-31T00:00:00+00:00
819;60;2023-03-31T00:00:00+00:00
820;0;2023-03-31T00:00:00+00:00
821;0;2023-03-31T00:00:00+00:00
1025;20;2023-03-31T00:00:00+00:00
1026;20;2023-03-31T00:00:00+00:00
1142;20;2023-03-31T00:00:00+00:00
1143;0;2023-03-31T00:00:00+00:00
110;100;2023-03-31T01:00:00+00:00
111;0;2023-03-31T01:00:00+00:00
226;100;2023-03-31T01:00:00+00:00
227;360;2023-03-31T01:00:00+00:00
249;140;2023-03-31T01:00:00+00:00
250;60;2023-03-31T01:00:00+00:00
251;20;2023-03-31T01:00:00+00:00
252;20;2023-03-31T01:00:00+00:00
253;200;2023-03-31T01:00:00+00:00
254;140;2023-03-31T01:00:00+00:00
261;80;2023-03-31T01:00:00+00:00
262;20;2023-03-31T01:00:00+00:00
263;20;2023-03-31T01:00:00+00:00
331;40;2023-03-31T01:00:00+00:00
332;80;2023-03-31T01:00:00+00:00
333;0;2023-03-31T01:00:00+00:00
334;140;2023-03-31T01:00:00+00:00
337;40;2023-03-31T01:00:00+00:00
338;0;2023-03-31T01:00:00+00:00
354;40;2023-03-31T01:00:00+00:00
355;60;2023-03-31T01:00:00+00:00
424;0;2023-03-31T01:00:00+00:00
425;0;2023-03-31T01:00:00+00:00
426;0;2023-03-31T01:00:00+00:00
427;0;2023-03-31T01:00:00+00:00
430;0;2023-03-31T01:00:00+00:00
431;20;2023-03-31T01:00:00+00:00
434;0;2023-03-31T01:00:00+00:00
435;80;2023-03-31T01:00:00+00:00
537;0;2023-03-31T01:00:00+00:00
538;0;2023-03-31T01:00:00+00:00
642;0;2023-03-31T01:00:00+00:00
643;0;2023-03-31T01:00:00+00:00
648;0;2023-03-31T01:00:00+00:00
649;0;2023-03-31T01:00:00+00:00
722;0;2023-03-31T01:00:00+00:00
723;0;2023-03-31T01:00:00+00:00
724;0;2023-03-31T01:00:00+00:00
725;0;2023-03-31T01:00:00+00:00
815;0;2023-03-31T01:00:00+00:00
816;100;2023-03-31T01:00:00+00:00
818;0;2023-03-31T01:00:00+00:00
819;60;2023-03-31T01:00:00+00:00
820;0;2023-03-31T01:00:00+00:00
821;0;2023-03-31T01:00:00+00:00
1025;20;2023-03-31T01:00:00+00:00
1026;20;2023-03-31T01:00:00+00:00
1142;20;2023-03-31T01:00:00+00:00
1143;0;2023-03-31T01:00:00+00:00
110;100;2023-03-31T02:00:00+00:00
111;0;2023-03-31T02:00:00+00:00
226;100;2023-03-31T02:00:00+00:00
227;360;2023-03-31T02:00:00+00:00
249;140;2023-03-31T02:00:00+00:00
250;60;2023-03-31T02:00:00+00:00
251;20;2023-03-31T02:00:00+00:00
