id_compteur;nom_compteur;id;name;channel_id;channel_name;installation_date;url_photos_n1;counter;coordinates;photos;test_lien_vers_photos_du_site_de_comptage_;id_photo_1;url_sites;type_dimage
252; Allée du Schluthfeld N-S;252; Allée du Schluthfeld;1;N-S;;;;48.57129583494225, 7.754149061430643;;;;;
251; Allée du Schluthfeld S-N;251; Allée du Schluthfeld;1;S-N;;;;48.57125438418227, 7.754316352408991;;;;;
427; Avenue Herrenschmidt NO-SE;427; Avenue Herrenschmidt;1;NO-SE;;;;48.59687165671171, 7.755508001412316;;;;;
426; Avenue Herrenschmidt SE-NO;426; Avenue Herrenschmidt SE-NO;1;N-S;;;;48.59696083911659, 7.755647757853439;;;;;
537; Chemin Goeb N-S;537; Chemin Goeb ;1;N-S;;;;48.592739828810025, 7.783747660840394;;;;;
538; Chemin Goeb S-N;538; Chemin Goeb ;1;S-N;;;;48.59267912151194, 7.783921883236405;;;;;
815; Passage J.Robic NO-SE;815; Passage J.Robic ;1;vers centre;;;;48.59068162473613, 7.733225454191061;;;;;
816; Passage J.Robic SE-NO;816; Passage J.Robic ;1;vers Cronenbourg;;;;48.59080788616791, 7.733252663808222;;;;;
1143; Piste M. Garin E-O;1143; Piste M. Garin;1;E-O;;;;48.574462278192385, 7.7210144346874054;;;;;
1142; Piste M. Garin O-E;1142; Piste M. Garin;1;O-E;;;;48.57433755326548, 7.7210730335729005;;;;;
425; Place de Haguenau N-S;425; Place de Haguenau ;1;vers Strasbourg centre;;../photos/425.jpg;;48.59322349080708, 7.741967381534985;;;;;
424; Place de Haguenau S-N;424; Place de Haguenau ;1;vers Schiltigheim;;../photos/424.jpg;;48.593223787657294, 7.742162439125671;;;;;
331; Quai M. Bloch N-S;331; Quai M. Bloch ;1;vers Illkirch;;../photos/331.jpg;;48.576736, 7.736315;;;;;
332; Quai M. Bloch S-N;332; Quai M. Bloch ;1;vers MAMS;;../photos/332.jpg;;48.576736, 7.736315;;;;;
249; Quai Pasteur E-O;249; Quai Pasteur;1;vers Montagne-Verte;;../photos/249.jpg;;48.573998, 7.743024;;;;;
250; Quai Pasteur O-E;250; Quai Pasteur;1;vers Kehl;;../photos/250.jpg;;48.573998, 7.743024;;;;;
818; Route d'Oberhausbergen SDIS O-E;818; Route d'Oberhausbergen SDIS O-E;1;O-E;;;;48.59031938751372, 7.727301491947219;;;;;
649; Route du Neuhof E-O;649; Route du Neuhof;1;vers Illkirch;;;;48.54024071436628, 7.759103435597994;;;;;
648; Route du Neuhof O-E;648; Route du Neuhof;1;vers Strasbourg centre;;;;48.54029115005513, 7.7589559156014865;;;;;
263; Rue A.Kastler;263; Rue A.Kastler;1;N-S;;;;48.572886366055435, 7.771610284427905;;;;;
355; Rue de Saales NE-SO;355; Rue de Saales;1;vers Montagne-Verte;;../photos/355.jpg;;48.574510, 7.733021;;;;;
354; Rue de Saales SO-NE;354; Rue de Saales;1;vers Strasbourg centre;;../photos/354.jpg;;48.574510, 7.733021;;;;;
227; Rue de Vienne N-S;227; Rue de Vienne ;1;N-S;;;;48.57435842045746, 7.7558165784046516;;;;;
226; Rue de Vienne S-N;226; Rue de Vienne ;1;S-N;;;;48.57438197718318, 7.756012330848533;;;;;
1025; rue du 23 Nov. E-O;1025; rue du 23 Nov.;1;vers Vigie;;;;48.53183755529878, 7.707508559765835;;;;;
1026; rue du 23 Nov. O-E;1026; rue du 23 Nov.;1;vers Illkirch;;;;48.53172091389608, 7.707443045317129;;;;;
723; Rue du Doubs S-N;723; Rue du Doubs ;1;vers Illkirch;;;;48.55843342132032, 7.734211596430535;;;;;
722; Rue du Doubs N-S;722; Rue du Doubs ;1;vers Strasbourg centre;;;;48.55842196744886, 7.734406485647272;;;;;
261; Rue E.Michelet N-S;261; Rue E.Michelet;1;N-S;;;;48.573634166267766, 7.766670322536927;;;;;
262; Rue E.Michelet S-N;262; Rue E.Michelet;1;S-N;;;;48.57356917545771, 7.766835984185035;;;;;
111;Faubourg de Pierre  N-S;111;Faubourg de Pierre ;1;N-S;;;;48.58868710733047, 7.745867473360866;;;;;
110;Faubourg de Pierre S-N;110;Faubourg de Pierre ;1;S-N;;;;48.58885184022549, 7.746501326449472;;;;;
253;Place du Corbeau NO-SE;253;Place du Corbeau;1;vers Illkirch;;;;48.579206, 7.751262;;;;;
254;Place du Corbeau SE-NO;253;Place du Corbeau;1;vers Strasbourg centre;;../photos/254.jpg;;48.579206, 7.751262;;;;;
725;Plaine des Bouchers N-S;725;Plaine des Bouchers;1;N-S;;;;48.56732125314296, 7.739069387762957;;;;;
724;Plaine des Bouchers S-N;724;Plaine des Bouchers;1;S-N;;;;48.56730817163201, 7.739268427102986;;;;;
334;Route des Romains E-O;334;Route des Romains;1;E-O;;;;48.58052392731477, 7.719806071347598;;;;;
333;Route des Romains O-E;333;Route des Romains;1;O-E;;;;48.58038958741391, 7.7198290530890095;;;;;
820;Route d'Oberhausbergen DDT O-E;820;Route d'Oberhausbergen DDT;1;O-E;;;;48.59076793274012, 7.727425781233925;;;;;
819;Route d'Oberhausbergen SDIS E-O;819;Route d'Oberhausbergen SDIS;1;E-O;;;;48.59044590023039, 7.727330366080557;;;;;
821;Route d'Oberhausbergen DDT E-O;821;Route d'Oberhausbergen DDT;1;N-S;;;;48.590896130797745, 7.727444566207109;;;;;
434;Rue de l'Eglise Rouge N-S;434;Rue de l'Eglise Rouge;1;N-S;;;;48.59360067066826, 7.746638273023366;;;;;
435;Rue de l'Eglise Rouge S-N;435;Rue de l'Eglise Rouge;1;S-N;;;;48.59362014898262, 7.74681009743837;;;;;
337;Rue du Rempart N-S;337;Rue du Rempart;1;N-S;;;;48.58237971734293, 7.728886386207493;;;;;
338;Rue du Rempart S-N;338;Rue du Rempart;1;S-N;;;;48.582335529902096, 7.729085143076869;;;;;
643;Rue du Rhin Tortu N-S;643;Rue du Rhin Tortu;1;vers Illkirch;;;;48.550092488020155, 7.757994245889686;;;;;
642;Rue du Rhin Tortu S-N;642;Rue du Rhin Tortu;1;vers Strasbourg centre;;;;48.550093383083784, 7.758223630413932;;;;;
431;Rue J. Kablé E-O;431;Rue J. Kablé;1;E-O;;;;48.59325374884587, 7.749337049110116;;;;;
430;Rue J. Kablé O-E;430;Rue J. Kablé;1;O-E;;;;48.59312811466062, 7.749369362523637;;;;;
