id_compteur;nom_compteur;id;name;channel_id;channel_name;installation_date;url_photos_n1;counter;coordinates;photos;test_lien_vers_photos_du_site_de_comptage_;id_photo_1;url_sites;type_dimage
850;Wilson 884-881;850;Wilson 884-881;1;N-S;;;;48.58926114863932, 7.740711606636442;;;;;
346;Wasselonne vers Romains;346;Wasselonne vers Romains;1;N-S;;;;48.581693181436655, 7.694069516667361;;;;;
347;Wasselonne vers Eckbo;347;Wasselonne vers Eckbo;1;N-S;;;;48.58392382886005, 7.689700562011245;;;;;
19;Tour Verte vers Sud;19;Tour Verte vers Sud;1;N-S;;;;48.573202589197365, 7.7239043440161055;;;;;
20;Tour Verte vers Nord;20;Tour Verte vers Nord;1;N-S;;;;48.57328861772161, 7.724126930643086;;;;;
100;Tanneurs;100;Tanneurs;1;N-S;;;;48.58334242922752, 7.744553449799022;;;;;
101;St.Jean;101;St.Jean;1;N-S;;;;48.58405680909074, 7.740232384465446;;;;;
213;Sortie Tunnel vers Allemagne;213;Sortie Tunnel vers Allemagne;1;N-S;;;;48.572821747180434, 7.760061662116159;;;;;
215;Sortie Rte du Rhin vers Pl.Etoile;215;Sortie Rte du Rhin vers Pl.Etoile;1;N-S;;;;48.573292586194796, 7.758063882651355;;;;;
1131;Sortie Lingo vers Entzheim;1131;Sortie Lingo vers Entzheim;1;N-S;;;;48.55277271361231, 7.674210415217861;;;;;
417;Sortie Eglise Rouge vers J. Kablé;417;Sortie Eglise Rouge vers J. Kablé;1;N-S;;;;48.59327880825268, 7.745065726091762;;;;;
707;Sortie Autoroute Rue Montagne-Verte;707;Sortie Autoroute Rue Montagne-Verte;1;N-S;;;;48.57056053130905, 7.733353035158664;;;;;
308;Sortie Autoroute Rue de Saales;308;Sortie Autoroute Rue de Saales;1;N-S;;;;48.5742644686731, 7.731589606122596;;;;;
353;sortie autoroute rue de koenigshoffen;353;sortie autoroute rue de koenigshoffen;1;N-S;;;;48.582032248644616, 7.7236136195789085;;;;;
1105;Sortie Autoroute Elsau;1105;Sortie Autoroute Elsau;1;N-S;;;;48.570844390701424, 7.7290659666567825;;;;;
1203;Sortie A351 vers Herrenschmidt;1203;Sortie A351 vers Herrenschmidt;1;N-S;;;;48.595592527364644, 7.748465532252433;;;;;
812;Sortie A35 vers G.Wodli;812;Sortie A35 vers G.Wodli;1;N-S;;;;48.59018411726688, 7.735325563658904;;;;;
710;Sortie A35 vers Baggersee;710;Sortie A35 vers Baggersee;1;N-S;;;;48.54434215740983, 7.732976816096016;;;;;
328;Sortie A 351;328;Sortie A 351;1;N-S;;;;48.590485894578755, 7.694184651413512;;;;;
645;Schuhansen vers Ganzau;645;Schuhansen vers Ganzau;1;N-S;;;;48.54091469453368, 7.760582605118064;;;;;
9;Schirmeck9 - Entree Ville;9;Schirmeck9 - Entree Ville;1;N-S;;;;48.56889908176086, 7.710746595374253;;;;;
8;Schirmeck8 - Sortie Ville;8;Schirmeck8 - Sortie Ville;1;N-S;;;;48.56772279816756, 7.709487916493799;;;;;
7;Schirmeck7 - Entree Ville;7;Schirmeck7 - Entree Ville;1;N-S;;;;48.56766476508609, 7.709724289758606;;;;;
6;Schirmeck6 - Sortie Ville;6;Schirmeck6 - Sortie Ville;1;N-S;;;;48.566403171636146, 7.708431336032285;;;;;
5;Schirmeck5 - Entree Ville;5;Schirmeck5 - Entree Ville;1;N-S;;;;48.56634599997579, 7.708677311236139;;;;;
4;Schirmeck4 - Sortie Ville;4;Schirmeck4 - Sortie Ville;1;N-S;;;;48.563691421297, 7.704051321096385;;;;;
3;Schirmeck3 - Entree Ville;3;Schirmeck3 - Entree Ville;1;N-S;;;;48.563554549516965, 7.704155113764294;;;;;
2;Schirmeck2 - Sortie Ville;2;Schirmeck2 - Sortie Ville;1;N-S;;;;48.56228546651335, 7.698352551828026;;;;;
18;Schirmeck18 - Sortie Ville;18;Schirmeck18 - Sortie Ville;1;N-S;;;;48.57443872808548, 7.724937737754938;;;;;
17;Schirmeck17 - Entree Ville;17;Schirmeck17 - Entree Ville;1;N-S;;;;48.57429933785307, 7.724939310635944;;;;;
16;Schirmeck16 - Sortie Ville;16;Schirmeck16 - Sortie Ville;1;N-S;;;;48.573692231642966, 7.7208070887365245;;;;;
15;Schirmeck15 - Entree Ville;15;Schirmeck15 - Entree Ville;1;N-S;;;;48.573522274370944, 7.720835260205728;;;;;
14;Schirmeck14 - Sortie Ville;14;Schirmeck14 - Sortie Ville;1;N-S;;;;48.57260385433773, 7.715753253530132;;;;;
13;Schirmeck13 - Entree Ville;13;Schirmeck13 - Entree Ville;1;N-S;;;;48.5724627980003, 7.715874372834068;;;;;
12;Schirmeck12 - Sortie Ville;12;Schirmeck12 - Sortie Ville;1;N-S;;;;48.571248798379884, 7.712636095352599;;;;;
11;Schirmeck11 - Entree Ville;11;Schirmeck11 - Entree Ville;1;N-S;;;;48.571125079601536, 7.712773587245684;;;;;
10;Schirmeck10 - Sortie Ville;10;Schirmeck10 - Sortie Ville;1;N-S;;;;48.56895028452342, 7.7105562678730255;;;;;
1;Schirmeck1 - Entree Ville;1;Schirmeck1 - Entree Ville;1;N-S;;;;48.562140362932574, 7.698540755729809;;;;;
540;Rue Vauban vers Place de Kehl;540;Rue Vauban vers Place de Kehl;1;N-S;;;;48.58054597795391, 7.774158838558717;;;;;
539;Rue Vauban vers Bld de la Victoire;539;Rue Vauban vers Bld de la Victoire;1;N-S;;;;48.580770453137106, 7.7742472324804375;;;;;
413;Rue Ohmacht vers Place de Bordeaux;413;Rue Ohmacht vers Place de Bordeaux;1;vers Place de Bordeaux;;;;48.59184456395855, 7.7633934255873065;;;;;
414;Rue Ohmacht vers Allée de la Robertsau;414;Rue Ohmacht vers Allée de la Robertsau;1;vers Allée de la Robertsau;;;;48.59170951442152, 7.763148816196043;;;;;
1018;Rue Lixenbuhl vers Vincent Scotto;1018;Rue Lixenbuhl vers Vincent Scotto;1;N-S;;;;48.530043162511845, 7.725266500523105;;;;;
1017;Rue Lixenbuhl vers Rue d'Alsace;1017;Rue Lixenbuhl vers Rue d'Alsace;1;N-S;;;;48.52983042589276, 7.725230141942681;;;;;
421;Rue Jacques Kablé vers Place de Haguen;421;Rue Jacques Kablé vers Place de Haguen;1;vers Place de Haguen;;;;48.59331234843331, 7.752446903738552;;;;;
420;Rue Jacques Kablé vers Place de Bordea;420;Rue Jacques Kablé vers Place de Bordea;1;vers Place de Bordea;;;;48.59309275721212, 7.752430273289385;;;;;
516;Rue J.Wenger-Valentin vers Schiltigheim;516;Rue J.Wenger-Valentin vers Schiltigheim;1;N-S;;;;48.59987351504321, 7.759909679222864;;;;;
515;Rue J.W. Valentin (CIAL) vers Pl.A.Zeller;515;Rue J.W. Valentin (CIAL) vers Pl.A.Zeller;1;N-S;;;;48.59964315741184, 7.759857852083976;;;;;
930;Rue G.Burger vers Carrefour de l'Europe;930;Rue G.Burger vers Carrefour de l'Europe;1;N-S;;;;48.61571354373321, 7.723814994517022;;;;;
633;Rue F.Epailly 697-696;633;Rue F.Epailly 697-696;1;N-S;;;;48.57184653258912, 7.794569796040736;;;;;
632;Rue F.Epailly 696-697;632;Rue F.Epailly 696-697;1;N-S;;;;48.57166960076092, 7.794430431360746;;;;;
532;Rue Edmond Labbé vers Rue P.Montet;532;Rue Edmond Labbé vers Rue P.Montet;1;N-S;;;;48.58058667124143, 7.762658837190158;;;;;
531;Rue Edmond Labbé vers Bld de la Victoire;531;Rue Edmond Labbé vers Bld de la Victoire;1;N-S;;;;48.580484755095355, 7.763022625605773;;;;;
242;Rue E.Michelet vers Rte du Rhin;242;Rue E.Michelet vers Rte du Rhin;1;vers Rte du Rhin;;;;48.5735683830779, 7.767035672652102;;;;;
241;Rue E.Michelet vers Quai des Alpes;241;Rue E.Michelet vers Quai des Alpes;1;vers Quai des Alpes;;;;48.573501604737835, 7.767386762259102;;;;;
1147;Rue E.Bugatti vers Vigie;1147;Rue E.Bugatti vers Vigie;1;N-S;;;;48.5462694485007, 7.699092967813033;;;;;
1146;Rue E.Bugatti vers Lingolsheim;1146;Rue E.Bugatti vers Lingolsheim;1;N-S;;;;48.54617003967097, 7.699379883756992;;;;;
931;Rue du Triage;931;Rue du Triage;1;N-S;;;;48.61904372733173, 7.72088498284793;;;;;
611;Rue du Rhin Tortu vers Neuhof;611;Rue du Rhin Tortu vers Neuhof;1;N-S;;;;48.550169241889336, 7.758459065302145;;;;;
610;Rue du Rhin Tortu vers Gal Offenstein;610;Rue du Rhin Tortu vers Gal Offenstein;1;N-S;;;;48.550202639795046, 7.758766591707054;;;;;
329;Rue du Rempart vers Koenigshoffen;329;Rue du Rempart vers Koenigshoffen;1;N-S;;;;48.58250315443695, 7.728420033045799;;;;;
330;Rue du Rempart vers Cronenbourg;330;Rue du Rempart vers Cronenbourg;1;N-S;;;;48.58240462022472, 7.7286893365273475;;;;;
1216;Rue du Marais(De Gaulle) vers Pont Phario;1216;Rue du Marais(De Gaulle) vers Pont Phario;1;N-S;;;;48.614793449516625, 7.7676656505635515;;;;;
1215;Rue du Marais(De Gaulle) vers La Wantzenau;1215;Rue du Marais(De Gaulle) vers La Wantzenau;1;N-S;;;;48.619032677979014, 7.769398833155696;;;;;
1214;Rue du Marais vers Gal de Gaulle;1214;Rue du Marais vers Gal de Gaulle;1;N-S;;;;48.61897871300844, 7.769047094117514;;;;;
1218;Rue du Marais (Phario) vers Zorn;1218;Rue du Marais (Phario) vers Zorn;1;N-S;;;;48.61097484369026, 7.766893309851671;;;;;
1217;Rue du Marais (Phario) vers Gal De Gaulle;1217;Rue du Marais (Phario) vers Gal De Gaulle;1;N-S;;;;48.61483896494838, 7.768025705705984;;;;;
1219;Rue du Marais (Bretagne) vers Pont Phario;1219;Rue du Marais (Bretagne) vers Pont Phario;1;N-S;;;;48.61091395573493, 7.767201878661967;;;;;
1109;Rue du Mal Foch vers Strasbourg;1109;Rue du Mal Foch vers Strasbourg;1;N-S;;;;48.559480757363545, 7.690680076555965;;;;;
